id,text,cleaned_text
1,I love this phone 😍❤️,i love this phone
2,Worst customer service ever 😡👎,worst customer service ever
3,Today is a beautiful day 😊🌞,today is a beautiful day
4,I am feeling sad today 😢💔,i am feeling sad today
5,Wow! Amazing offer 🎉 Visit https://offer.com,wow amazing offer visit
6,Thanks @HP for your help 🙏😊,thanks for your help
7,I scored 95 marks 🥳📚 #Happy,i scored 95 marks happy
8,This food is very tasty 😋🍕,this food is very tasty
9,I am waiting for the bus 🚌🙂,i am waiting for the bus
10,Good night everyone 🌙✨,good night everyone
